SampleID,PPL_images,XPL_images,dominant_fabric,micrite_abundance,microspar_abundance,spar_abundance,matrix_heterogeneity,matrix_framework,microfracture_density,texture_gradients,spar_distribution,Notes
PK95-SC-242,,,siliciclastics,minor,moderate,minor,moderate,patchy,none,no,fractures/voids,"Weird sample, doesn't look like soil carbonate nodule"
PK95-SC-179,,,microspar,minor,abundant,moderate,moderate,patchy and zoned,common,yes,both,"Most fractures clearly visible with naked eye, but micrite-microspar gradients are heterogeneous across matrix."
PK95-SC-185,,,microspar,none,abundant,moderate,low,patchy,rare,no,fractures/voids,Fibrous/radial microspar fabric throughout. Microcodium? Some rosettes radiate out from fracture-fill spar.
PK95-SC-54,,,microspar,minor,abundant,abundant,high,patchy and zoned,rare,yes,both,Large fractures with blocky and fibrous spar fill. Xtals grade from several cm to ~10 microns
PK95-SC-22,,,spar,none,moderate,abundant,high,patchy and zoned,common,yes,both,Almost entirely recrystallized into spar. Primary fabrics mostly obliterated.
PK95-SC-80n1,,,microspar,minor,abundant,moderate,high,patchy and zoned,common,yes,both,"Micrite relicts are clotted, peloidal. Microspar is often radial/fibrous, but mostly granular/polygonal. Void/fracture-fill is blocky, translucent spar."
PK95-SC-23,,,microspar,minor,abundant,moderate,low,homogeneous,common,no,both,Some color mottling in matrix but generally homogeneous xtal fabric. Generally sharp xtal size boundaries between matrix and fracture fill.
PK95-SC-31,,,microspar,none,abundant,minor,low,patchy,rare,no,both,Relatively coarse microspar compared with most samples viewed so far.
PK95-SC-160,,,microspar,minor,abundant,moderate,high,patchy and zoned,common,yes,both,"Complex fabric, range of xtal sizes from micrite to blocky spar. Two distinct matrix regions: finer microspar and coarse microspar, joined by sharp contact (captured in image from 8/31/26)."
PK95-SC-246,,,micrite,abundant,minor,moderate,moderate,patchy,rare,no,both,Mostly micrite with clotted fabric but lots of small spar-filled voids dispersed throughout.
PK95-SC-118up,,,microspar,moderate,abundant,minor,moderate,patchy and zoned,rare,yes,fractures/voids,Bulk matrix sample likely contained mostly microspar and some micrite. Spar looks generally easy to avoid.
PK95-SC-279,,,micrite,abundant,moderate,moderate,moderate,patchy and zoned,rare,yes,both,Hard to estimate relative abundance of micrite and microspar. High heterogeneity of micritic and microsparitic microregions. Plant fragments? Lots of small spar-filled voids dispersed throughout.
PK95-SC-133,,,microspar,minor,abundant,minor,low,homogeneous,none,no,dispersed in matrix,"Mostly coarse microspar with some larger microspar crystals. Plant fragments, roots? No pedogenic fabric is visible."
PK95-SC-4,,,mixed,abundant,minor,abundant,high,patchy and zoned,common,no,fractures/voids,"Complex, lots of micrite but patchy. Large fractures look like desiccation features. Micrite shows clotted fabrics."
PK95-SC-50,,,microspar,minor,abundant,minor,moderate,patchy,common,no,fractures/voids,Darker colored zones have small microspar and some micrite but also have more spar-filled fractures
PK95-SC-176,,,mixed,moderate,moderate,moderate,high,patchy,common,yes,fractures/voids,"Prevalent clotty fabrics with thin spar rims between many clasts. Grades from micrite to microspar across many regions of the sample, microspar is fine xtals."
PK95-SC-43,,,micrite,abundant,minor,minor,low,homogeneous,none,no,dispersed in matrix,Xtals mostly right on boundary between micrite and microspar. Minor constituent of small isolated patches of microspar or small void-fill spar
PK95-SC-27,,,micrite,moderate,moderate,minor,moderate,patchy and zoned,rare,yes,both,Often hard to distinguish microspar and micrite. Interspersed in patchwork fabric. Sometimes grades to more conspicuous microspar or spar microregions. Some roots/organics? Common spar xtals interspersed in matrix.
