section_id,section_name,region,age_model_id,native_strat_column,stratigraphic_datum,model_status,notes
CFB,Clarks Fork Basin / Polecat Bench,northern_BHB,CFB_v1,strat_height_m,meters above K-Pg on the Polecat Bench / Sand Coulee composite,active,Primary CFB soil-carbonate framework; Polecat Bench and Sand Coulee measurements already use the established CFB composite scale.
MCP,McCullough Peaks,northern_BHB,MCP_v1,strat_height_m,Koch (2003) meters above K-Pg on the McCullough Peaks composite,active,Independent McCullough Peaks model; do not combine its meter scale with CFB.
CABIN_FORK,Cabin Fork,southeastern_BHB,CABIN_FORK_v1,strat_height_m,Cabin Fork composite meter scale,planned,Use Cabin Fork-specific priors; PETM onset/LIRB is approximately 13.75-14.5 m.
HWY16,Highway 16,southeastern_BHB,HWY16_v1,strat_height_m,HWY16 native measured-section scale,planned,Primary southeastern PETM paleosol and floral section; onset geosol is approximately 20 m.
CAB10,CAB 10,southeastern_BHB,CAB10_v1,strat_height_m,CAB 10 native measured-section scale,planned,Physically correlated to HWY16 with the onset and BR1 geosols; retain native meters until an explicit transformation is approved.
CAB3,CAB 3,southeastern_BHB,CAB3_v1,strat_height_m,CAB 3 native measured-section scale,planned,Physically correlated to HWY16 with traced geosols; retain native meters.
BIG_RED_SPIT,Big Red Spit,southeastern_BHB,BIG_RED_SPIT_v1,strat_height_m,Big Red Spit native measured-section scale,planned,Baczynski et al. sampling section; reported as equivalent to Pyramid Point in some source figures.
PYRAMID_POINT,Pyramid Point,southeastern_BHB,PYRAMID_POINT_v1,strat_height_m,Pyramid Point native measured-section scale,planned,Baczynski et al. sampling section; preserve source naming and document any equivalence to Big Red Spit.
NORTH_BUTTE,North Butte,southeastern_BHB,NORTH_BUTTE_v1,strat_height_m,North Butte native measured-section scale,planned,Connected to Honeycombs and HWY16-area sections by physically traced onset and BR1 geosols.
HONEYCOMBS,Honeycombs,southeastern_BHB,HONEYCOMBS_v1,strat_height_m,Honeycombs native measured-section scale,planned,Use the revised CIE onset at the gray tracer/onset geosol rather than the older isotope-only placement.
ELK_CREEK,Elk Creek,southern_BHB,ELK_CREEK_v1,strat_height_m,Elk Creek section meter scale used for the Wing leaf-margin record,planned,Required for Wing LMA-4 through LMA-8; chronology depends on published Antelope-Elk Creek correlations.
ANTELOPE_CREEK,Antelope Creek,southern_BHB,ANTELOPE_CREEK_v1,strat_height_m,Antelope Creek native/composite scale,correlation_only,Presently used mainly to support biozone and magnetostratigraphic correlation of the Elk Creek record.
SAND_CREEK_DIVIDE,Sand Creek Divide,southern_BHB,SAND_CREEK_DIVIDE_v1,strat_height_m,Sand Creek Divide native measured-section scale,planned,Use an independent age model based primarily on local magnetochron boundaries.
WORLAND_EAST,Worland East,southern_BHB,WORLAND_EAST_v1,strat_height_m,Worland East / Bown southern-section scale,deferred,Currently contributes chiefly to pooled Wing floral assemblages; a continuous local model is not yet required.
FOSTER_GULCH,Foster Gulch,central_BHB,FOSTER_GULCH_v1,strat_height_m,Foster Gulch composite scale,deferred,Important for older Paleocene stratigraphic control but no climate/isotope proxy series is currently included.
BEAR_CREEK,Bear Creek,northern_BHB,BEAR_CREEK_v1,strat_height_m,Bear Creek native section scale,deferred,Contributes to Wing LMA-1; underlying component positions and correlation uncertainty still need reconstruction.
MULTI_SECTION,Multiple correlated sections,regional,MULTI_SECTION_published_interval,NA,not applicable,aggregate_only,Use for published proxy values assembled from more than one section; store constituent sections and an age interval rather than a single stratigraphic height.
